Ordem;Operação;Chave de controle;Centro de trabalho;Txt.breve operação;Quantidade operação (MEINH);Qtd.boa confirmada (MEINH);Refugo confirmado (MEINH);Confirmação atividade 2 (ILE02);Data início real de execução;Data fim real da execução
1945104;0051;ZP26;12234393;APONTAMENTO WASTE - SFC;1.608;0;83;0,000;29/10/2024;29/10/2024
1945104;0015;;LB-TXT01;ENVIAR PEÇAS P/ USINAGEM LUK - ALA1 FB;1.608;0;0;0,000;;
1945104;0020;ZP04;12227172;BROCHAR BR/3;1.608;1.711;0;285,737;13/10/2023;29/10/2024
1945104;0025;ZP05;LB-TXT01;ENVIAR PEÇAS P/ INA - ALA 08;1.608;0;0;0,000;;
1945104;0030;ZP04;85080319;TRATAMENTO TÉRMICO;1.608;1.711;0;3,422;13/10/2023;29/10/2024
1945104;0040;ZP04;12232765;JATEAR;1.608;1.711;0;17,110;13/10/2023;29/10/2024
1945104;0050;ZP04;12234393;RETIFICAR FACE;1.608;1.711;0;20,532;13/10/2023;29/10/2024
1945104;0060;ZP04;85052450;RETIFICAR DIÂMETRO EXTERNO;1.608;796;3;17,512;13/10/2023;29/10/2024
1945104;0065;ZP05;IB-TXT01;OLEAR;1.608;0;0;0,000;;
1945104;0070;ZP28;IB-ENV01;ENV. TERCEIRO;1.608;1.708;0;0,000;13/10/2023;27/10/2023
1945104;0071;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;1.608;1.708;0;0,000;16/10/2023;30/10/2023
1945104;0072;ZP05;IB-REC01;REC. TERCEIRO;1.608;0;0;0,000;;
1945104;0080;ZP01;85052941;RET/LAP PISTA;1.608;1.160;0;212;20/10/2023;24/04/2024
1945104;1000;ZP10;IB329900;QA/LOG/SCH;1.608;1.608;0;207,432;20/10/2023;29/10/2024
1945104;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);1.608;0;0;0,000;;
2043198;0031;ZP26;IB324528;APONTAMENTO WASTE - SFC;3.300;0;309;0,000;14/05/2024;14/05/2024
2043198;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;3.300;3.085;0;43,190;03/01/2024;06/08/2024
2043198;0020;ZP04;IB023610;JATEAR;3.300;3.085;0;200,525;03/01/2024;14/05/2024
2043198;0030;ZQ04;IB324528;RETIFICAR FACE;3.300;3.085;0;40,105;03/01/2024;14/05/2024
2043198;0040;ZP04;IB329107;RETIFICAR DIAM. EXT. 1º PASSE;3.300;3.085;0;135,740;03/01/2024;14/05/2024
